CMILES,Names,Circular FP,MACCS FP,LINGO FP
[C:1]1([H:27])([H:28])[C:2]([H:29])([H:30])[C:3]([H:31])([H:32])[C:4]([H:33])([H:34])[C:5]([H:35])([H:36])[C:6]([H:37])([H:38])[C:7]1([N:8]([S:9](=[O:10])(=[O:11])[c:12]1[c:13]([H:41])[c:14]([H:42])[c:15]2[c:16]3[c:17]1[c:18]([H:43])[c:19]([H:44])[c:20]([H:45])[c:21]3[C:22](=[O:23])[N:24]2[C:25]([C:26]([H:48])([H:49])[H:50])([H:46])[H:47])[H:40])[H:39],['gnt-00743-7'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2700> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2c40> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3180> >
[Cl:1][c:2]1[c:3]([Cl:4])[c:5]([H:29])[c:6]([O:7][c:8]2[n:9][c:10]([H:30])[c:11]([C:14](=[O:15])[N:16]3[C:17]([H:33])([H:34])[C:18]([H:35])([H:36])[C:19]([H:37])([H:38])[N:20]([C:23]4([H:43])[C:24]([H:44])([H:45])[C:25]([H:46])([H:47])[C:26]4([H:48])[H:49])[C:21]([H:39])([H:40])[C:22]3([H:41])[H:42])[c:12]([H:31])[c:13]2[H:32])[c:27]([H:50])[c:28]1[H:51],['jns-02468-7'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2730> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2c70> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b31b0> >
[Cl:1][c:2]1[c:3]([H:24])[n:4][c:5]([H:25])[c:6]([H:26])[c:7]1[N:8]1[C:9]([H:27])([H:28])[C:10]([H:29])([H:30])[C:11]([H:31])([H:32])[N:12]([C:15](=[O:16])[N:17]([c:18]2[c:19]([H:38])[c:20]([H:39])[c:21]([H:40])[c:22]([H:41])[c:23]2[H:42])[H:37])[C:13]([H:33])([H:34])[C:14]1([H:35])[H:36],['jns-01679-7'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2760> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2ca0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b31e0> >
[Cl:1][c:2]1[c:3]([H:25])[c:4]([H:26])[c:5]([N:6]2[C:7]([H:27])([H:28])[C:8]([H:29])([H:30])[C:9]([H:31])([H:32])[N:10]([H:33])[C:11]([H:34])([H:35])[C:12]2([H:36])[H:37])[c:13]([N:14]([C:15](=[O:16])[c:17]2[c:18]([H:39])[c:19]([Cl:20])[c:21]([H:40])[c:22]([H:41])[c:23]2[H:42])[H:38])[c:24]1[H:43],['bri-01043-8'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2790> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2cd0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3210> >
[F:1][C:2]1([H:27])[C:3]([H:28])([H:29])[C:4]([H:30])([H:31])[N:5]([c:8]2[n:9][c:10]3[c:11]([c:17](-[c:19]4[c:20]([H:45])[c:21]([H:46])[c:22]([Cl:23])[c:24]([Cl:25])[c:26]4[H:47])[n:18]2)[C:12]([H:36])([H:37])[C:13]([H:38])([H:39])[N:14]([H:40])[C:15]([H:41])([H:42])[C:16]3([H:43])[H:44])[C:6]([H:32])([H:33])[C:7]1([H:34])[H:35],['jns-01848-0'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b27c0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2d00> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3240> >
[F:1][c:2]1[c:3]([H:24])[c:4]([H:25])[c:5]([O:6][c:7]2[n:8][c:9]([H:26])[c:10]([C:13](=[O:14])[N:15]3[C:16]([H:29])([H:30])[C:17]([H:31])([H:32])[C:18]([H:33])([H:34])[N:19]([H:35])[C:20]([H:36])([H:37])[C:21]3([H:38])[H:39])[c:11]([H:27])[c:12]2[H:28])[c:22]([H:40])[c:23]1[H:41],"['jns-01636-6', 'jns-01636-7']",<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b27f0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2d30> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3270> >
[F:1][c:2]1[c:3]([H:27])[c:4]([H:28])[c:5]([H:29])[c:6]([O:7][c:8]2[n:9][c:10]([H:30])[c:11]([C:14](=[O:15])[N:16]3[C:17]([H:33])([H:34])[C:18]([H:35])([H:36])[C:19]([H:37])([H:38])[N:20]([C:23]4([H:43])[C:24]([H:44])([H:45])[C:25]4([H:46])[H:47])[C:21]([H:39])([H:40])[C:22]3([H:41])[H:42])[c:12]([H:31])[c:13]2[H:32])[c:26]1[H:48],['jns-02485-8'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2820> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2d60> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b32a0> >
[O:1]=[C:2]([C:3]1([H:28])[C:4]([H:29])([H:30])[C:5]([H:31])([H:32])[O:6][C:7]([H:33])([H:34])[C:8]1([H:35])[H:36])[N:9]1[C:10]([H:37])([H:38])[C:11]([H:39])([H:40])[C:12]([H:41])([H:42])[N:13]([C:16]2=[N:17][C:18]([H:47])=[C:19]([C:20]([N:21]3[C:22]([H:50])([H:51])[C:23]([H:52])([H:53])[O:24][C:25]([H:54])([H:55])[C:26]3([H:56])[H:57])([H:48])[H:49])[S:27]2)[C:14]([H:43])([H:44])[C:15]1([H:45])[H:46],['bri-00807-0'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2850> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2d90> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b32d0> >
[O:1]=[C:2]([N:3]([c:4]1[c:5]([H:24])[c:6]([H:25])[c:7]([H:26])[c:8]([H:27])[c:9]1[H:28])[H:23])[N:10]1[C:11]([H:29])([H:30])[C:12]([H:31])([H:32])[C:13]([H:33])([H:34])[N:14]([c:17]2[c:18]([H:39])[c:19]([H:40])[c:20]([H:41])[n:21][c:22]2[H:42])[C:15]([H:35])([H:36])[C:16]1([H:37])[H:38],['jns-01687-6'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2880> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2dc0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3300> >
[O:1]=[C:2]([N:3]1[C:4]([H:29])([H:30])[C:5]([H:31])([H:32])[C:6]([N:9]2[C:10](=[O:11])[N:12]([H:38])[c:13]3[c:14]2[c:15]([H:39])[c:16]([H:40])[c:17]([H:41])[c:18]3[H:42])([H:33])[C:7]([H:34])([H:35])[C:8]1([H:36])[H:37])[C:19]1=[C:20]([H:43])[C:21]2=[C:22]([C:23]([H:44])([H:45])[C:24]([H:46])([H:47])[C:25]([H:48])([H:49])[C:26]([H:50])([H:51])[C:27]2([H:52])[H:53])[S:28]1,['bri-01508-4'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b28b0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2df0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3330> >
[O:1]=[C:2]1[O:3][C@:4]([H:5])([c:22]2[c:23]([H:43])[c:24]([H:44])[c:25]([H:45])[c:26]([H:46])[c:27]2[H:47])[C@:6]([H:7])([c:16]2[c:17]([H:38])[c:18]([H:39])[c:19]([H:40])[c:20]([H:41])[c:21]2[H:42])[N:8]2[C:9]([H:28])([H:29])[C:10]([H:30])([H:31])[C:11]([H:32])([H:33])[C:12]([H:34])([H:35])[C:13]([H:36])([H:37])[C@@:14]12[H:15],['bri-01264-0'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b28e0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2e20> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3360> >
[c:1]1([H:21])[c:2]([H:22])[c:7]2[c:6]([H:26])[n:15][c:5]([H:25])[c:4]([H:24])[c:8]2[c:9]([S:20]([N:16]2[C:11]([H:29])([H:30])[C:10]([H:27])([H:28])[C:13]([H:33])([H:34])[N+:17]([H:37])([H:38])[C:14]([H:35])([H:36])[C:12]2([H:31])[H:32])(=[O:18])=[O:19])[c:3]1[H:23],"['rch-00374-2', 'rch-00374-7']",<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2910> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2e50> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3390> >
[c:1]1([H:27])[c:2]([H:28])[c:6]2[c:7]3[c:8]([c:3]1[H:29])[C:11](=[O:23])[N:21]([C:20]([C:19]([H:45])([H:46])[H:47])([H:48])[H:49])[c:9]3[c:4]([H:30])[c:5]([H:31])[c:10]2[S:26]([N:22]([C:18]1([H:44])[C:16]([H:40])([H:41])[C:14]([H:36])([H:37])[C:12]([H:32])([H:33])[C:13]([H:34])([H:35])[C:15]([H:38])([H:39])[C:17]1([H:42])[H:43])[H:50])(=[O:24])=[O:25],"['rch-00712-2', 'rch-00712-6']",<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2940> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2e80> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b33c0> >
[c:1]1([H:28])[c:2]([H:29])[c:11]([C:16]([N:24]([c:14]2[c:4]([H:31])[c:3]([H:30])[c:12]3[c:13]([c:6]2[H:33])[C:18]([H:38])([H:39])[C:20]([H:42])([H:43])[N+:25]([H:49])([H:50])[C:19]([H:40])([H:41])[C:17]3([H:36])[H:37])[H:48])=[O:26])[c:15]([O:27][C:21]([H:44])([H:45])[H:46])[c:5]([H:32])[c:9]1[C:10]1=[C:8]([H:35])[N:23]([H:47])[N:22]=[C:7]1[H:34],['rch-01313-3'],<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2970> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2eb0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b33f0> >
[c:1]1([H:28])[c:6]([H:33])[c:11]([O:26][c:9]2[c:2]([H:29])[c:4]([H:31])[c:10]([F:27])[c:5]([H:32])[c:3]2[H:30])[n:22][c:7]([H:34])[c:8]1[C:12]([N:23]1[C:17]([H:43])([H:44])[C:16]([H:41])([H:42])[C:18]([H:45])([H:46])[N:24]([C:21]2([H:51])[C:14]([H:37])([H:38])[C:13]([H:35])([H:36])[C:15]2([H:39])[H:40])[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:25],"['rch-01138-4', 'rch-01138-5']",<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b29a0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b2ee0> >,<oegraphsim.OEFingerPrint; proxy of <Swig Object of type 'OEGraphSim::OEFingerPrint *' at 0x1696b3420> >
