Cluster ID, N Cluster Molecules, SMILES
59, 11, [CH3:4][CH3:5]
60, 29, None
61, 19, [cH2:7][cH2:12]
62, 10, [cH3:6][cH:1][cH:5][cH2:8][CH3:11]
63, 10, [cH:7]1[cH:3][cH:1][cH:4][cH:8][cH:11]1
64, 20, None
65, 14, [cH3:6][cH:5][cH2:10]
66, 15, [cH:14]1[cH:3][cH:1][cH:4][cH:17][cH:15]1
67, 19, [cH2:1][cH2:3]
68, 12, [cH2:9][cH2:14]
69, 19, [cH:15]1[cH:14][cH:13][cH:16][cH:17][cH:18]1
70, 10, [cH3:12][cH:3][cH2:1]
71, 11, [cH:6]1[cH:3][cH:1][cH:5][cH:2][cH:4]1
72, 12, [cH2:2][cH2:3]
73, 15, [cH3:13][cH:12][cH2:21]
74, 28, None
75, 10, None
76, 10, [cH3:29][cH:24][cH:22][cH:23][cH2:25]
77, 12, [cH3:13][cH:19][cH:8][cH:9][cH2:11]
78, 23, [cH3:3][cH:2][cH2:17]
79, 13, [cH:12]1[cH:11][cH:10][cH:15][cH:14][cH:13]1
80, 24, None
81, 21, [cH2:1][cH2:4]
82, 10, None
83, 18, [cH3:12][cH2:13][nH2:2]
84, 10, None
85, 21, [cH3:4][cH:6][cH:2][cH:1][cH2:3]
86, 18, None
87, 11, [cH3:11][cH:10][cH:15][cH3:14]
88, 15, [cH3:1][cH:2][cH2:3]
89, 14, [cH2:5][nH:19]
90, 13, [cH:6]1[cH:3][cH:1][cH:5][cH:2][cH:4]1
91, 30, [cH:6]1[cH:3][cH:5][cH:8][cH:7][cH:4]1
92, 29, None
93, 22, None
94, 10, [cH3:20][cH:21][cH:15][cH:16][cH2:17]
95, 21, [cH3:7][cH:8][cH:3][cH:4][cH2:5]
96, 10, [cH:6]1[cH:3][cH:1][cH:5][cH:2][cH:4]1
97, 21, [cH:4]1[cH:3][cH:2][cH:11][cH:10][cH:5]1
98, 23, [cH2:10][cH:11][cH:12][cH2:19]
99, 24, [cH3:19][cH:18][cH:16][cH:17][cH2:21]
100, 21, None
101, 17, [cH3:2][cH3:11]
102, 19, [cH3:2][cH:1][cH:3][cH3:9]
103, 19, [cH3:10][cH:7][cH:1][cH:3][cH2:8]
104, 15, [cH3:11][cH:7][cH:1][cH:2][cH2:8]
105, 19, [cH2:2][cH2:5]
106, 15, [cH3:15][cH:16][cH2:17]
107, 21, [cH3:11][cH:12][cH:4][cH:5][cH2:9]
108, 11, [cH2:2][cH2:3]
109, 14, [cH3:2][cH:1][cH:4][cH3:3]
110, 12, [CH3:1][CH3:2]
111, 17, [cH3:3][cH:1][cH:5][cH3:2]
112, 17, [cH3:2][cH:1][cH:6][cH3:5]
113, 20, [cH:7]1[cH:3][cH:1][cH:4][cH:8][cH:11]1
114, 20, [cH:14]1[cH:13][cH:12][cH:18][cH:17][cH:16]1
115, 21, [cH3:2][cH:8][cH:1][cH:4][cH2:10]
116, 10, None
117, 12, [cH3:2][cH:3][cH2:4]
118, 21, [cH3:1][cH:3][cH:10][cH:11][cH2:13]
119, 11, [cH3:12][cH:3][cH2:1]
120, 10, [cH:15]1[cH:14][cH:13][cH:19][cH:18][cH:16]1
121, 11, [cH3:11][cH:12][cH:13][cH:14][cH2:19]
122, 13, [cH:6]1[cH:3][cH:1][cH:5][cH:2][cH:4]1
123, 10, [cH3:16][cH:15][cH:14][CH3:11]
124, 17, [cH3:13][cH:12][cH2:21]
125, 13, [cH3:10][cH:3][cH:1][cH:2][cH2:8]
126, 28, [cH3:3][cH:2][cH2:7]
127, 10, [cH:9]1[cH:2][cH:7][cH:8][cH:3][cH:10]1
128, 17, [cH3:4][cH:6][cH:17][cH3:16]
129, 20, [cH3:18][cH:19][cH:14][cH:15][cH2:16]
130, 11, [cH3:15][cH:14][cH2:19]
131, 17, [cH3:6][cH:2][cH2:3]
132, 13, [cH3:5][cH:3][cH:1][cH:2][cH2:4]
133, 11, [cH3:17][cH:19][cH:12][cH:13][cH2:14]
134, 28, [cH2:8][cH2:9]
135, 20, [cH2:1][cH2:6]
136, 41, None
137, 12, [cH2:19][cH:8][cH:9][nH:10]
138, 16, [cH3:6][cH:1][cH2:7]
139, 14, [cH:6]1[cH:3][cH:1][cH:5][cH:2][cH:4]1
140, 12, [cH3:2][cH:3][cH:4][cH3:5]
141, 13, [cH3:6][cH:7][cH:2][cH:3][cH2:4]
142, 11, None
143, 10, [cH3:3][cH:2][cH2:1]
144, 10, [CH3:1][CH:2]1[CH2:3][O:4][CH2:5][CH:6]2[N:31]1[c:10]3[c:9]([c:23]([n:22][cH:12][n:11]3)[C:24]([CH3:25])([CH3:26])[SH5:27])[O:8][CH2:7]2
145, 19, [cH3:2][cH:1][cH:3][cH3:7]
146, 13, [cH3:13][cH:12][cH:18][cH3:17]
147, 10, [cH:4]1[cH:2][cH:1][cH:3][cH:5][cH:13]1
148, 11, [cH3:2][cH:1][cH2:3]
149, 43, None
150, 29, None
151, 37, None
152, 10, [cH:7]1[cH:3][cH:1][cH:4][cH:8][cH:11]1
153, 20, [cH:5]1[cH:2][cH:1][cH:4][cH:9][cH:7]1
154, 13, [cH:5]1[cH:3][cH:2][cH:8][cH:7][cH:6]1
155, 10, [cH3:3][cH:2][cH:7][cH3:6]
156, 26, [cH3:4][cH:1][cH:8][cH3:2]
157, 15, [cH3:4][cH:2][cH:3][nH2:11]
158, 13, [cH3:17][cH:18][cH:12][cH:13][cH2:14]
159, 13, [cH3:2][cH:6][cH:1][cH:3][cH2:7]
160, 15, [cH3:9][cH:4][cH2:5]
161, 16, None
162, 13, [cH3:7][cH:8][cH:2][cH:3][cH2:5]
163, 13, [cH3:4][cH:6][cH2:7]
164, 10, [cH:3]1[cH:2][cH:1][cH:5][cH:6][cH:4]1
165, 21, [cH:4]1[cH:2][cH:6][cH:3][cH:5][cH:7]1
166, 22, [cH2:2][cH:1][nH2:6]
167, 20, [cH:4]1[cH:3][cH:2][c:9]([cH:6][cH:5]1)[c:10]2[cH:19][cH:18][c:13]3[c:12]([cH:11]2)[n:17][c:15]([nH:14]3)[OH:16]
168, 16, [cH3:18][cH:19][cH:12][cH:11][cH2:10]
169, 21, [cH:16]1[cH:15][cH:14][cH:19][cH:18][cH:17]1
170, 11, [cH:6]1[cH:5][cH:4][cH:9][cH:8][cH:7]1
171, 13, [cH3:5][cH:4][cH2:9]
172, 16, [cH3:7][cH:6][cH:11][cH3:10]
173, 13, [cH2:2][cH:1][cH:3][cH2:4]
174, 13, [cH3:3][cH:2][cH2:18]
175, 14, [cH:4]1[cH:2][cH:1][cH:3][cH:11][cH:13]1
176, 10, [cH3:11][cH:12][cH:14][cH:15][cH2:20]
177, 10, [cH3:2][cH:5][cH:1][cH:3][cH2:6]
178, 14, [CH3:10][c:11]([cH:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[c:5]([nH:4])[CH2:6][CH2:7][NH2:8]
179, 12, [cH3:4][cH:5][cH:6][cH:19][cH2:2]
180, 13, [cH3:6][cH:5][cH2:14]
181, 11, [cH3:5][cH:4][cH:3][cH:2][cH2:7]
182, 20, [cH3:13][cH:12][cH2:19]
183, 13, [cH3:17][cH:18][cH:13][cH:14][cH2:15]
184, 19, [cH3:2][cH:5][cH:1][cH:3][cH2:6]
185, 26, [cH3:5][cH:2][cH2:3]
186, 29, [cH3:20][cH:21][cH:16][cH:17][cH2:18]
187, 18, [cH3:4][cH:2][cH:3][n:12][cH2:1]
188, 14, [cH:3]1[cH:2][cH:1][cH:6][cH:5][cH:4]1
189, 21, [cH2:1][cH2:5]
190, 60, [cH3:3][cH:1][cH2:6]
191, 11, [cH2:10][cH:9][cH:8][nH:14]
192, 13, [CH3:1][CH2:2][NH:3][CH2:4][CH3:6]
193, 19, [cH3:3][cH:1][cH2:8]
194, 28, [cH3:20][cH:22][c:15]([cH:16][cH2:17])[NH:14][C:12](=[O:13])[cH:11][cH:23][c:7]([cH2:8])[S:4](=[O:5])(=[O:6])[NH:3][CH2:2][CH3:1]
195, 17, [cH:15]1[cH:3][cH:1][cH:13][cH:2][cH:4]1
196, 20, [cH3:16][cH:17][cH:12][cH:13][cH2:14]
197, 12, None
198, 10, [cH:9]1[cH:8][cH:7][cH:12][cH:11][cH:10]1
199, 18, [cH3:12][cH:4][cH:1][cH:3][cH2:9]
200, 13, [cH3:8][cH:7][cH:6][cH3:16]
201, 18, [cH:1]1[cH:2][cH:4][c:6]([cH:5][cH:3]1)[SH:20](=[O:14])=[O:15]
202, 27, [cH3:6][cH:21][cH:2][cH:3][cH2:4]
203, 16, [cH:1]1[cH:2][cH:5][c:12]([cH:6][cH:3]1)[S:22](=[O:19])(=[O:20])[c:13]2[cH:7][cH:4][cH:9][cH:11][cH:8]2
204, 72, [cH:1]1[cH:2][cH:4][c:12]([cH:5][cH:3]1)[SH:23](=[O:19])=[O:20]
205, 28, [cH:1]1[cH:2][cH:3][c:4]([cH:5][cH:6]1)[SH:7](=[O:8])=[O:9]
206, 14, [CH3:2][c:16]1[cH:25][cH:24][cH:19][cH:18][n:17]1
207, 26, [cH3:14][cH:11][cH2:13]
208, 32, [cH:8]1[cH:4][cH:1][cH:5][cH:9][cH:12]1
209, 15, [cH:1]1[cH:2][cH:6][c:10]([cH:7][cH:3]1)[SH:14](=[O:12])=[O:13]
210, 45, [cH:11]1[cH:10][cH:9][cH:14][cH:13][cH:12]1
211, 34, [cH:1]1[cH:2][cH:4][c:6]([cH:5][cH:3]1)[SH:15](=[O:13])=[O:14]
212, 19, [CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]([CH3:9])[CH3:13]
213, 12, [cH3:12][cH:20][cH:8][cH:9][cH2:10]
214, 15, [CH3:3][NH:5][CH:6]1[CH2:7][CH2:8][CH:9]([CH2:28]1)[nH:10][cH2:14]-[cH:15][cH:27][cH:26][cH:18][c:19]2[cH:20][cH:21][cH:22][cH:24][cH:25]2
215, 39, [cH2:27][cH:13][C:11](=[O:12])[N:9]([CH3:10])[CH:8]1[CH2:7][CH2:6][CH:5]([CH2:28]1)[NH:4][C:2](=[O:3])[CH3:1]
216, 14, [cH3:8][cH:9][cH:4][cH:5][cH2:6]
217, 17, [CH3:9][CH2:5][NH2:18]
218, 45, [CH3:7][CH2:5][CH:3]([CH2:2][OH:1])[OH:4]
219, 14, [cH3:6][cH:7][cH2:3]
220, 17, [cH3:2][cH:1][cH:11][cH3:14]
221, 26, [cH3:6][cH:3][cH:1][cH:2][cH2:5]
222, 25, [cH3:12][cH:13][cH:8][cH:9][cH2:10]
223, 19, [cH3:16][cH:18][cH:12][O:11][c:10]1[cH:28][cH:6][cH:7][cH:8][cH:9]1
224, 18, [cH3:7][cH:9][cH:11][cH:8][cH2:6]
225, 21, [cH3:3][cH:2][cH2:7]
226, 13, [cH2:15][cH:16][cH:18][cH2:19]
227, 22, [cH3:5][CH2:6][NH:7][C:8](=[O:9])[CH:10]1[CH2:11][CH2:12][NH+:13]([CH2:27]1)[CH2:14][cH2:15][cH:16][cH:17][cH:18][cH:19][OH:20]
228, 77, [CH3:11][CH:12]([CH3:14])[CH2:2][NH2:3]
229, 10, [cH:3]1[cH:5][cH:13][cH:6][cH:4][cH:12]1
230, 10, [cH3:18][n:21][c:2]([c:3]1[cH:20][n:7]([c:5]([n:4]1)[OH:6])[CH3:8])[NH2:1]
231, 10, [cH3:5][cH:11][cH:9][cH:4][cH2:2]
232, 25, [cH3:11][cH2:12][nH:13][cH3:9]
233, 20, [cH3:5][cH:6][cH:7][cH:8][cH2:3]
234, 37, [cH2:9][cH:3][nH2:2]
235, 30, [cH3:16][cH:17][cH:11][cH:12][cH2:14]
236, 10, [cH2:2][cH:3][nH2:4]
237, 38, [cH3:3][cH:2][cH:21][cH3:20]
238, 40, [cH3:14][cH:13][cH:19][cH:17][cH2:16]
239, 15, [cH3:26][cH:27][cH:21][cH:22][cH2:24]
240, 12, [cH3:8][cH:4][cH2:5]
241, 12, [cH:16]1[cH:15][cH:14][cH:24][cH:22][cH:17]1
242, 49, [cH3:8][cH:1][n:11][cH3:2]
243, 27, [cH3:1][cH:2][n:11][cH3:9]
244, 21, [cH3:14][n:15][cH:10][NH:9][c:8]1[cH:7][cH:6][cH:28][cH:27][cH:26]1
245, 30, [CH3:14][NH+:13]([CH3:16])[CH2:12][CH:11]([c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[NH2:10]
246, 10, [cH:3]1[cH:2][cH:1][cH:15][cH:14][cH:12]1
247, 20, [cH3:6][cH:5][cH2:11]
248, 19, [cH3:12][n:13]([c:7]1[cH:8][cH:9][cH:10][cH:5][n:6]1)-[c:14]([cH2:22])[cH:15][c:16]2[cH2:17][nH:18][n:19][cH:20]2
249, 13, [cH:2]1[cH:3][cH:12][cH:13][cH:6][cH:10]1
250, 27, [cH2:23][cH:13][cH:14][c:15]1[cH2:16][NH:17][CH2:18][CH2:20]1
251, 21, [cH:4]1[cH:3][cH:2][cH:7][cH:6][cH:5]1
252, 43, [cH3:20][cH:21][cH:2][cH:3][cH2:4]
253, 36, [cH:5]1[cH:4][cH:3][cH:24][cH:7][cH:6]1
254, 27, [cH3:15][cH:8][cH:10][cH:5][cH2:7]
255, 13, [cH3:1][cH:20][cH:21][cH:3][cH2:2]
256, 47, [cH3:18][cH:19][cH:14][cH:15][cH2:16]
257, 16, [cH3:9][cH:7][cH:11][cH:6][cH2:8]
258, 10, [cH:20]1[cH:19][cH:18][cH:23][cH:22][cH:21]1
259, 97, [CH3:10][CH2:11][N:12]([CH3:22])[CH:13]=[O:14]
260, 44, [cH3:12][cH:9][cH:11][cH2:13][cH:1][cH2:4]
261, 14, [CH3:19][c:20]1[cH:21][nH:22][c:23]2[c:24]1[c:25]([n:26][cH:27][n:28]2)[NH2:29]
262, 35, [cH3:13][N:18]([CH2:7][CH3:5])[CH2:8][CH3:6]
263, 35, [cH3:9][N:11]1[CH2:12][CH2:13][O:14][CH2:15][CH2:16]1
264, 22, [cH3:18][CH:17]1[CH2:23][N:13]([CH2:14][CH2:15][O:16]1)[cH2:12][n:24][cH:8][c:7]2[cH:6][n:5][c:4]3[n:25]2[cH:26][cH:27][cH:2][cH:3]3
265, 53, [cH:10]1[cH:9][cH:8][cH:29][cH:28][cH:11]1
266, 35, [cH3:16][cH:15][cH:14][C:12](=[O:13])[NH:4][CH3:3]
267, 61, [cH3:7][cH:8][cH:2][cH:3][cH2:4]
268, 21, [CH3:3][CH2:4][N:5]([CH3:6])[CH:20]=[O:21]
